profile	capability	required	macos_brew	windows_winget
base	git	required	git	Git.Git
base	github-cli	required	gh	GitHub.cli
base	ripgrep	required	ripgrep	BurntSushi.ripgrep.MSVC
base	uv	required	uv	astral-sh.uv
base	jq	optional	jq	jqlang.jq
base	fd	optional	fd	sharkdp.fd
base	starship	optional	starship	Starship.Starship
base	zoxide	optional	zoxide	ajeetdsouza.zoxide
base	direnv	optional	direnv	direnv.direnv
web	node	required	node	OpenJS.NodeJS.LTS
web	pnpm	required	pnpm	pnpm.pnpm
web	yarn	optional	yarn	Yarn.Yarn
ai	python	required	python@3.12	Python.Python.3.12
ai	bun	required	bun	Oven-sh.Bun
db	postgresql	optional	postgresql@16	PostgreSQL.PostgreSQL.16
db	redis	optional	redis	Redis.Redis
db	sqlite	optional	sqlite	SQLite.SQLite
mobile	swiftlint	optional	swiftlint
